"Step","8cpbv0o1-119 - learning_rate","8cpbv0o1-119 - learning_rate__MIN","8cpbv0o1-119 - learning_rate__MAX","llroik6o-118 - learning_rate","llroik6o-118 - learning_rate__MIN","llroik6o-118 - learning_rate__MAX","jsek6sl2-116 - learning_rate","jsek6sl2-116 - learning_rate__MIN","jsek6sl2-116 - learning_rate__MAX","lcfwx2ma-116 - learning_rate","lcfwx2ma-116 - learning_rate__MIN","lcfwx2ma-116 - learning_rate__MAX","4ojp66b1-114 - learning_rate","4ojp66b1-114 - learning_rate__MIN","4ojp66b1-114 - learning_rate__MAX","6gk9uial-111 - learning_rate","6gk9uial-111 - learning_rate__MIN","6gk9uial-111 - learning_rate__MAX"
"50","0.01133333146572113","0.01133333146572113","0.01133333146572113","0.0011333331931382418","0.0011333331931382418","0.0011333331931382418","0.01133333146572113","0.01133333146572113","0.01133333146572113","0.0011333331931382418","0.0011333331931382418","0.0011333331931382418","0.003777777310460806","0.003777777310460806","0.003777777310460806","0.003777777310460806","0.003777777310460806","0.003777777310460806"
"100","0.01666666567325592","0.01666666567325592","0.01666666567325592","0.0016666665906086564","0.0016666665906086564","0.0016666665906086564","0.01666666567325592","0.01666666567325592","0.01666666567325592","0.0016666665906086564","0.0016666665906086564","0.0016666665906086564","0.005555554758757353","0.005555554758757353","0.005555554758757353","0.005555554758757353","0.005555554758757353","0.005555554758757353"
"150","0.02199999988079071","0.02199999988079071","0.02199999988079071","0.002199999988079071","0.002199999988079071","0.002199999988079071","0.02199999988079071","0.02199999988079071","0.02199999988079071","0.002199999988079071","0.002199999988079071","0.002199999988079071","0.007333333138376474","0.007333333138376474","0.007333333138376474","0.007333333138376474","0.007333333138376474","0.007333333138376474"
"200","0.02733333222568035","0.02733333222568035","0.02733333222568035","0.002733333269134164","0.002733333269134164","0.002733333269134164","0.02733333222568035","0.02733333222568035","0.02733333222568035","0.002733333269134164","0.002733333269134164","0.002733333269134164","0.009111111052334309","0.009111111052334309","0.009111111052334309","0.009111111052334309","0.009111111052334309","0.009111111052334309"
"250","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"300","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"350","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"400","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"450","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"500","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"550","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"600","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"650","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"700","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"750","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"800","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"850","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"900","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"950","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1000","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1050","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1100","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1150","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1200","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1250","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1300","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1350","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1400","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1450","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1500","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1550","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1600","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1650","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1700","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1750","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1800","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1850","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1900","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"1950","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"2000","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.003000000026077032","0.003000000026077032","0.003000000026077032","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.009999999776482582"
