"Step","8cpbv0o1-119 - val/energy_mae_per_atom","8cpbv0o1-119 - val/energy_mae_per_atom__MIN","8cpbv0o1-119 - val/energy_mae_per_atom__MAX","llroik6o-118 - val/energy_mae_per_atom","llroik6o-118 - val/energy_mae_per_atom__MIN","llroik6o-118 - val/energy_mae_per_atom__MAX","jsek6sl2-116 - val/energy_mae_per_atom","jsek6sl2-116 - val/energy_mae_per_atom__MIN","jsek6sl2-116 - val/energy_mae_per_atom__MAX","lcfwx2ma-116 - val/energy_mae_per_atom","lcfwx2ma-116 - val/energy_mae_per_atom__MIN","lcfwx2ma-116 - val/energy_mae_per_atom__MAX","4ojp66b1-114 - val/energy_mae_per_atom","4ojp66b1-114 - val/energy_mae_per_atom__MIN","4ojp66b1-114 - val/energy_mae_per_atom__MAX","6gk9uial-111 - val/energy_mae_per_atom","6gk9uial-111 - val/energy_mae_per_atom__MIN","6gk9uial-111 - val/energy_mae_per_atom__MAX"
"45","0.0072521972469985485","0.0072521972469985485","0.0072521972469985485","0.005323486402630806","0.005323486402630806","0.005323486402630806","0.005073241889476776","0.005073241889476776","0.005073241889476776","0.005410156212747097","0.005410156212747097","0.005410156212747097","0.005528564099222422","0.005528564099222422","0.005528564099222422","0.0051721190102398396","0.0051721190102398396","0.0051721190102398396"
"90","0.0045581054873764515","0.0045581054873764515","0.0045581054873764515","0.005319823976606131","0.005319823976606131","0.005319823976606131","0.006962890271097422","0.006962890271097422","0.006962890271097422","0.005383300594985485","0.005383300594985485","0.005383300594985485","0.0056091309525072575","0.0056091309525072575","0.0056091309525072575","0.005122070200741291","0.005122070200741291","0.005122070200741291"
"135","0.005814208649098873","0.005814208649098873","0.005814208649098873","0.005201416090130806","0.005201416090130806","0.005201416090130806","0.00786621030420065","0.00786621030420065","0.00786621030420065","0.005428466480225325","0.005428466480225325","0.005428466480225325","0.007368163671344519","0.007368163671344519","0.007368163671344519","0.008388672024011612","0.008388672024011612","0.008388672024011612"
"180","0.008907470852136612","0.008907470852136612","0.008907470852136612","0.005240478552877903","0.005240478552877903","0.005240478552877903","0.0043664551340043545","0.0043664551340043545","0.0043664551340043545","0.005447997711598873","0.005447997711598873","0.005447997711598873","0.008811035193502903","0.008811035193502903","0.008811035193502903","0.005675048567354679","0.005675048567354679","0.005675048567354679"
"225","0.0056176758371293545","0.0056176758371293545","0.0056176758371293545","0.009378662332892418","0.009378662332892418","0.009378662332892418","0.0037890623789280653","0.0037890623789280653","0.0037890623789280653","0.006573486141860485","0.006573486141860485","0.006573486141860485","0.006683349609375","0.006683349609375","0.006683349609375","0.0038110350724309683","0.0038110350724309683","0.0038110350724309683"
"270","0.0030029297340661287","0.0030029297340661287","0.0030029297340661287","0.011572265066206455","0.011572265066206455","0.011572265066206455","0.003317871131002903","0.003317871131002903","0.003317871131002903","0.009011230431497097","0.009011230431497097","0.009011230431497097","0.0051770019344985485","0.0051770019344985485","0.0051770019344985485","0.004464111290872097","0.004464111290872097","0.004464111290872097"
"315","0.004237060435116291","0.004237060435116291","0.004237060435116291","0.0075708008371293545","0.0075708008371293545","0.0075708008371293545","0.010292968712747097","0.010292968712747097","0.010292968712747097","0.004525146447122097","0.004525146447122097","0.004525146447122097","0.004750976338982582","0.004750976338982582","0.004750976338982582","0.0051989746280014515","0.0051989746280014515","0.0051989746280014515"
"360","0.001977538922801614","0.001977538922801614","0.001977538922801614","0.0044836425222456455","0.0044836425222456455","0.0044836425222456455","0.002280273474752903","0.002280273474752903","0.002280273474752903","0.004107665736228228","0.004107665736228228","0.004107665736228228","0.005369872786104679","0.005369872786104679","0.005369872786104679","0.020225830376148224","0.020225830376148224","0.020225830376148224"
"405","0.0020410155411809683","0.0020410155411809683","0.0020410155411809683","0.005581054370850325","0.005581054370850325","0.005581054370850325","0.0015624999068677425","0.0015624999068677425","0.0015624999068677425","0.0047973631881177425","0.0047973631881177425","0.0047973631881177425","0.004713134840130806","0.004713134840130806","0.004713134840130806","0.0064111328683793545","0.0064111328683793545","0.0064111328683793545"
"450","0.0019628906156867743","0.0019628906156867743","0.0019628906156867743","0.005759277381002903","0.005759277381002903","0.005759277381002903","0.0012280272785574198","0.0012280272785574198","0.0012280272785574198","0.004886474460363388","0.004886474460363388","0.004886474460363388","0.0028833006508648396","0.0028833006508648396","0.0028833006508648396","0.003792724572122097","0.003792724572122097","0.003792724572122097"
